Architecture,Memory,Workers,cores,avg_proc_time
arm64,128,1,2,110.12532477492634
arm64,128,2,2,110.31452291428417
arm64,128,3,2,110.21569903526319
arm64,128,4,2,110.48304823492634
arm64,128,5,2,110.57585322272105
arm64,128,6,2,110.6134569573579
arm64,256,1,2,55.019738073647346
arm64,256,2,2,54.966946332842056
arm64,256,3,2,55.06462098855793
arm64,256,4,2,55.24331469196312
arm64,256,5,2,55.179521067399996
arm64,256,6,2,55.27424723883674
arm64,512,1,2,27.46407636941577
arm64,512,2,2,27.491708685973666
arm64,512,3,2,27.394959581931555
arm64,512,4,2,27.403238764836868
arm64,512,5,2,27.531611746126355
arm64,512,6,2,27.465539136299977
arm64,768,1,2,18.288844833531552
arm64,768,2,2,18.522081812905366
arm64,768,3,2,18.28783968337372
arm64,768,4,2,18.27993051466847
arm64,768,5,2,18.29845233809994
arm64,768,6,2,18.270436463436837
arm64,1024,1,2,13.695872594394793
arm64,1024,2,2,13.692491920131596
arm64,1024,3,2,13.66674100677893
arm64,1024,4,2,13.73216992857361
arm64,1024,5,2,13.705455090678988
arm64,1024,6,2,13.70588018061053
arm64,1280,1,2,10.932545733078888
arm64,1280,2,2,10.94783068851598
arm64,1280,3,2,10.916598303563001
arm64,1280,4,2,10.924587156921163
arm64,1280,5,2,10.915847538242097
arm64,1280,6,2,10.935859532994956
arm64,1536,1,2,9.170500628499969
arm64,1536,2,2,9.113272751094778
arm64,1536,3,2,9.09335049754211
arm64,1536,4,2,9.1010861943524
arm64,1536,5,2,9.100611590947343
arm64,1536,6,2,9.11179043633161
arm64,1792,1,2,7.998458161252567
arm64,1792,2,2,7.812732121563242
arm64,1792,3,2,7.803846285268532
arm64,1792,4,2,7.782673113752696
arm64,1792,5,2,7.8034857153420765
arm64,1792,6,2,7.767020275652646
arm64,2048,1,2,7.900644264315757
arm64,2048,2,2,6.836355345994719
arm64,2048,3,2,6.803029741184204
arm64,2048,4,2,6.821419483600029
arm64,2048,5,2,6.8146122821421065
arm64,2048,6,2,6.800191977436828
arm64,2304,1,2,7.898786110020998
arm64,2304,2,2,6.076989989442071
arm64,2304,3,2,6.068133123194728
arm64,2304,4,2,6.05979346634737
arm64,2304,5,2,6.043761356778879
arm64,2304,6,2,6.048245430410498
arm64,2560,1,2,7.877984038815798
arm64,2560,2,2,5.4921376523789105
arm64,2560,3,2,5.469389682436816
arm64,2560,4,2,5.449105652436901
arm64,2560,5,2,5.456585896621101
arm64,2560,6,2,5.43738948941061
arm64,2816,1,2,7.871204156100018
arm64,2816,2,2,5.000578734663149
arm64,2816,3,2,4.981498450284121
arm64,2816,4,2,4.966896143652641
arm64,2816,5,2,4.974632473063143
arm64,2816,6,2,4.9564814515367885
arm64,3072,1,3,7.881050271300037
arm64,3072,2,3,4.622758844363433
arm64,3072,3,3,4.558411011721168
arm64,3072,4,3,4.5601994113839615
arm64,3072,5,3,4.548744510036854
arm64,3072,6,3,4.544758123726244
arm64,3328,1,3,7.876123997247535
arm64,3328,2,3,4.364434086200012
arm64,3328,3,3,4.232482328036847
arm64,3328,4,3,4.225660488347355
arm64,3328,5,3,4.208956819063176
arm64,3328,6,3,4.2046908633632745
arm64,3584,1,3,7.884192554252643
arm64,3584,2,3,4.07362333552089
arm64,3584,3,3,3.9205716996841256
arm64,3584,4,3,3.991722298563151
arm64,3584,5,3,3.9263125135630905
arm64,3584,6,3,3.913502458447223
arm64,3840,1,3,7.878378580299945
arm64,3840,2,3,4.060390024994573
arm64,3840,3,3,3.684234851647225
arm64,3840,4,3,3.743106461920936
arm64,3840,5,3,3.6814562588682844
arm64,3840,6,3,3.6547003844158428
arm64,4096,1,3,7.892461070420929
arm64,4096,2,3,4.0585100022159
arm64,4096,3,3,3.4512313982315392
arm64,4096,4,3,3.546972675341866
arm64,4096,5,3,3.459430341552697
arm64,4096,6,3,3.4369428912157867
arm64,4352,1,3,7.873304340363374
arm64,4352,2,3,4.053277101331463
arm64,4352,3,3,3.2708565284998916
arm64,4352,4,3,3.4221295914474563
arm64,4352,5,3,3.27509983712628
arm64,4352,6,3,3.254208737436823
arm64,4608,1,3,7.893918951515719
arm64,4608,2,3,4.050279802194641
arm64,4608,3,3,3.1359797478053486
arm64,4608,4,3,3.291002707484107
arm64,4608,5,3,3.1621466084685474
arm64,4608,6,3,3.0994267117789946
arm64,4864,1,3,7.8795421244948605
arm64,4864,2,3,4.058100346147371
arm64,4864,3,3,3.040344374642212
arm64,4864,4,3,3.2297716307315376
arm64,4864,5,3,3.0414039538684956
arm64,4864,6,3,2.976357729394735
arm64,5120,1,3,7.881650721915601
arm64,5120,2,3,4.047876043515767
arm64,5120,3,3,2.940436816268323
arm64,5120,4,3,3.1686812146209604
arm64,5120,5,3,2.94267351751016
arm64,5120,6,3,2.8673497546737052
arm64,5376,1,4,7.89415463614215
arm64,5376,2,4,4.053580870531656
arm64,5376,3,4,2.7938253102472848
arm64,5376,4,4,2.637931493515694
arm64,5376,5,4,2.9160228589790322
arm64,5376,6,4,2.680167370715667
arm64,5632,1,4,7.895491667478966
arm64,5632,2,4,4.048138938279083
arm64,5632,3,4,2.7940785735106504
arm64,5632,4,4,2.5199568997106803
arm64,5632,5,4,2.8115023757996824
arm64,5632,6,4,2.582303591015778
arm64,5888,1,4,7.886069252705209
arm64,5888,2,4,4.037657486163186
arm64,5888,3,4,2.7893141634315413
arm64,5888,4,4,2.4319078928476134
arm64,5888,5,4,2.7572761997475794
arm64,5888,6,4,2.502102207031519
arm64,6144,1,4,7.884597135999921
arm64,6144,2,4,4.0569311821051635
arm64,6144,3,4,2.780758003584198
arm64,6144,4,4,2.3758556757998934
arm64,6144,5,4,2.73705736098937
arm64,6144,6,4,2.4356811364999693
arm64,6400,1,4,7.880816441231677
arm64,6400,2,4,4.039179504041933
arm64,6400,3,4,2.7826900245527115
arm64,6400,4,4,2.3064962597051353
arm64,6400,5,4,2.657004591221056
arm64,6400,6,4,2.3733283256999895
arm64,6656,1,4,7.873230275947408
arm64,6656,2,4,4.05135767170012
arm64,6656,3,4,2.775639335673546
arm64,6656,4,4,2.258435562052603
arm64,6656,5,4,2.62960738893184
arm64,6656,6,4,2.3396174440738258
arm64,6912,1,4,7.886528387899795
arm64,6912,2,4,4.045862499415819
arm64,6912,3,4,2.7802543344103086
arm64,6912,4,4,2.2012083263791906
arm64,6912,5,4,2.6015160368157013
arm64,6912,6,4,2.274527167152672
arm64,7168,1,5,7.889757366957766
arm64,7168,2,5,4.049514458031554
arm64,7168,3,5,2.7799443528792263
arm64,7168,4,5,2.131072501952758
arm64,7168,5,5,2.0095169990101853
arm64,7168,6,5,2.34474069972122
arm64,7424,1,5,7.897920684400071
arm64,7424,2,5,4.055812766115667
arm64,7424,3,5,2.7830823167683296
arm64,7424,4,5,2.131858004236793
arm64,7424,5,5,1.971408187605247
arm64,7424,6,5,2.2937888811735894
arm64,7680,1,5,7.889871807231548
arm64,7680,2,5,4.053439213984031
arm64,7680,3,5,2.780271896999789
arm64,7680,4,5,2.1260429553998956
arm64,7680,5,5,1.9301218983842103
arm64,7680,6,5,2.266268612600021
arm64,7936,1,5,7.884283931373394
