Architecture,Memory,Workers,sk,cores,proc_time
arm64,512,6,20221224_045908,2,27.319311277999986
arm64,512,6,20221224_050107,2,27.522892906999914
arm64,512,6,20221224_050307,2,27.30092093500025
arm64,512,6,20221224_050507,2,27.28372379099983
arm64,512,6,20221224_050707,2,27.280398154000068
arm64,512,6,20221224_050907,2,27.34144504599999
arm64,512,6,20221224_051107,2,27.378549186000328
arm64,512,6,20221224_051307,2,27.328048968000076
arm64,512,6,20221224_051507,2,27.28148096899986
arm64,512,6,20221224_051707,2,27.362357834999784
arm64,512,6,20221224_051907,2,27.32317932299975
arm64,512,6,20221224_052107,2,27.440112229999613
arm64,512,6,20221224_052307,2,27.288778486999945
arm64,512,6,20221224_052507,2,27.31917081399979
arm64,512,6,20221224_052707,2,27.293066256000202
arm64,512,6,20221224_052907,2,27.20607582399998
arm64,512,6,20221224_053107,2,27.517296524999892
arm64,512,6,20221224_053307,2,27.33290109600057
arm64,512,6,20221224_053507,2,27.222290592999343
arm64,512,6,20221224_053707,2,27.577903967000566
arm64,512,6,20221224_053907,2,27.31939091699951
arm64,512,6,20221224_054107,2,27.38584192000053
arm64,512,6,20221224_054307,2,27.304291462999572
arm64,512,6,20221224_054507,2,27.2803880700003
arm64,512,6,20221224_054707,2,27.238361010000517
arm64,512,6,20221224_054907,2,27.239430884000285
arm64,512,6,20221224_055107,2,27.523293685999306
arm64,512,6,20221224_055307,2,27.292378756999824
arm64,512,6,20221224_055507,2,27.30295254200064
arm64,512,6,20221224_055707,2,27.299547059999895
arm64,512,6,20221224_055907,2,27.278482789999543
arm64,512,6,20221224_060107,2,27.306911285999377
arm64,512,6,20221224_060307,2,27.340948973000195
arm64,512,6,20221224_060507,2,27.361895845000618
arm64,512,6,20221224_060707,2,27.402550261000215
arm64,512,6,20221224_060907,2,27.275454202999754
arm64,512,6,20221224_061107,2,27.303061374000208
arm64,512,6,20221224_061307,2,27.260091060999912
arm64,512,6,20221224_061507,2,27.32077092200052
arm64,512,6,20221224_061707,2,27.427191081000274
arm64,512,6,20221224_061907,2,27.367349742999977
arm64,512,6,20221224_062107,2,27.465493178000543
arm64,512,6,20221224_062307,2,27.325900980999904
arm64,512,6,20221224_062507,2,27.363276561999555
arm64,512,6,20221224_062707,2,27.440317710999807
arm64,512,6,20221224_062907,2,27.404724553999586
arm64,512,6,20221224_063107,2,27.42340362699997
arm64,512,6,20221224_063307,2,27.665924044999883
arm64,512,6,20221224_063507,2,27.37602568299917
arm64,512,6,20221224_063707,2,27.358689921000405
arm64,512,6,20221224_063907,2,27.338304656999753
arm64,512,6,20221224_064107,2,27.479914084000484
arm64,512,6,20221224_064307,2,27.40304703200127
arm64,512,6,20221224_064507,2,27.34766491900018
arm64,512,6,20221224_064707,2,27.67985336599986
arm64,512,6,20221224_064907,2,27.519331364999744
arm64,512,6,20221224_065107,2,27.54030742199984
arm64,512,6,20221224_065307,2,27.562649846000113
arm64,512,6,20221224_065507,2,27.48568477500021
arm64,512,6,20221224_065707,2,27.539488458999585
arm64,512,6,20221224_065907,2,27.4116219980001
arm64,512,6,20221224_070107,2,27.46517181499985
arm64,512,6,20221224_070307,2,27.503916734000086
arm64,512,6,20221224_070507,2,27.464742719999776
arm64,512,6,20221224_070707,2,27.503154477999942
arm64,512,6,20221224_070907,2,27.50089265999941
arm64,512,6,20221224_071107,2,27.4820266910001
arm64,512,6,20221224_071307,2,27.72528264199991
arm64,512,6,20221224_071507,2,27.6204205869999
arm64,512,6,20221224_071708,2,27.898003370999504
arm64,512,6,20221224_071907,2,27.69310687899997
arm64,512,6,20221224_072107,2,27.606047064999984
arm64,512,6,20221224_072308,2,27.793571511000664
arm64,512,6,20221224_072507,2,27.59989853499974
arm64,512,6,20221224_072707,2,27.499472131999937
arm64,512,6,20221224_072907,2,27.61824452899964
arm64,512,6,20221224_073108,2,27.619821020999552
arm64,512,6,20221224_073307,2,27.520591047999915
arm64,512,6,20221224_073507,2,27.523043774000143
arm64,512,6,20221224_073708,2,27.878189809000105
arm64,512,6,20221224_073907,2,27.56383524099965
arm64,512,6,20221224_074107,2,27.61973014100022
arm64,512,6,20221224_074307,2,27.59862796299967
arm64,512,6,20221224_074507,2,27.542574580999826
arm64,512,6,20221224_074707,2,27.57874389400058
arm64,512,6,20221224_074907,2,27.57982852999976
arm64,512,6,20221224_075107,2,27.48526706099983
arm64,512,6,20221224_075307,2,27.44205280799997
arm64,512,6,20221224_075507,2,27.42118183399998
arm64,512,6,20221224_075707,2,27.542222228000355
arm64,512,6,20221224_075907,2,27.46039466699949
arm64,512,6,20221224_080107,2,27.51941990600062
arm64,512,6,20221224_080307,2,27.556023745999482
arm64,512,6,20221224_080507,2,27.61786344200027
arm64,512,6,20221224_080707,2,27.598515167000187
arm64,512,6,20221224_080907,2,27.545111047999853
arm64,512,6,20221224_081107,2,27.560404947999814
arm64,512,6,20221224_081307,2,27.483940479999546
arm64,512,6,20221224_081507,2,27.481311565000397
arm64,512,6,20221224_081707,2,27.417968049999217
arm64,512,6,20221224_081907,2,27.71875613500015
arm64,512,6,20221224_082107,2,27.42364234699926
arm64,512,6,20221224_082307,2,27.465100800000073
arm64,512,6,20221224_082507,2,27.482171396999547
arm64,512,6,20221224_082707,2,27.54158006199941
arm64,512,6,20221224_082907,2,27.52093357100057
arm64,512,6,20221224_083107,2,27.560493324999698
arm64,512,6,20221224_083307,2,27.54331368199928
arm64,512,6,20221224_083507,2,27.465602764999858
arm64,512,6,20221224_083707,2,27.443807088999165
arm64,512,6,20221224_083907,2,27.56079551199946
arm64,512,6,20221224_084107,2,27.518411774000924
arm64,512,6,20221224_084307,2,27.578835930000423
arm64,512,6,20221224_084507,2,27.51928899199993
arm64,512,6,20221224_084707,2,27.478962076000244
arm64,512,6,20221224_084907,2,27.464030089000516
arm64,512,6,20221224_085107,2,27.549028126999474
arm64,512,6,20221224_085307,2,27.541523552999934
arm64,512,6,20221224_085507,2,27.613275652000084
arm64,512,6,20221224_085707,2,27.271261505999973
arm64,512,6,20221224_085907,2,27.3392288
arm64,512,6,20221224_090107,2,27.362158645999898
arm64,512,6,20221224_090307,2,27.301599393000288
arm64,512,6,20221224_090507,2,27.36967374799997
arm64,512,6,20221224_090707,2,27.376133939999818
arm64,512,6,20221224_090907,2,27.696365799999967
arm64,512,6,20221224_091107,2,27.383614819000286
arm64,512,6,20221224_091307,2,27.39510424599939
arm64,512,6,20221224_091507,2,27.362736131999554
arm64,512,6,20221224_091707,2,27.700277292000465
arm64,512,6,20221224_091907,2,27.462324119000186
arm64,512,6,20221224_092107,2,27.684444790999805
arm64,512,6,20221224_092307,2,27.48001837999982
arm64,512,6,20221224_092507,2,27.664777543000127
arm64,512,6,20221224_092707,2,27.458672763999857
arm64,512,6,20221224_092907,2,27.72042316199986
arm64,512,6,20221224_093107,2,27.641274601000077
arm64,512,6,20221224_093308,2,27.449156192999908
arm64,512,6,20221224_093507,2,27.41284233100032
arm64,512,6,20221224_093707,2,27.464497543000107
arm64,512,6,20221224_093908,2,27.719482280999728
arm64,512,6,20221224_094107,2,27.32187401900046
arm64,512,6,20221224_094307,2,27.460260726999877
arm64,512,6,20221224_094508,2,27.702202657999806
arm64,512,6,20221224_094707,2,27.441691496000203
arm64,512,6,20221224_094907,2,27.441583615000127
arm64,512,6,20221224_095107,2,27.401337780000176
arm64,512,6,20221224_095307,2,27.422997620999922
arm64,512,6,20221224_095507,2,27.419137164999484
arm64,512,6,20221224_095707,2,27.427421127999878
arm64,512,6,20221224_095907,2,27.700887072000114
arm64,512,6,20221224_100107,2,27.424561312999685
arm64,512,6,20221224_100307,2,27.406705814000816
arm64,512,6,20221224_100507,2,27.459301423000397
arm64,512,6,20221224_100707,2,27.386585279999963
arm64,512,6,20221224_100907,2,27.401175893000072
arm64,512,6,20221224_101107,2,27.422753722999914
arm64,512,6,20221224_101307,2,27.37711498600038
arm64,512,6,20221224_101508,2,27.70502780700008
arm64,512,6,20221224_101707,2,27.35967218099995
arm64,512,6,20221224_101907,2,27.35775248400114
arm64,512,6,20221224_102107,2,27.402265164999335
arm64,512,6,20221224_102307,2,27.32481737099988
arm64,512,6,20221224_102507,2,27.38158355700034
arm64,512,6,20221224_102707,2,27.379861677998633
arm64,512,6,20221224_102907,2,27.480392172001302
arm64,512,6,20221224_103107,2,27.46496451299936
arm64,512,6,20221224_103308,2,27.68156676899889
arm64,512,6,20221224_103507,2,27.463700620000964
arm64,512,6,20221224_103707,2,27.46605853499932
arm64,512,6,20221224_103907,2,27.55833026399887
arm64,512,6,20221224_104107,2,27.46248887799993
arm64,512,6,20221224_104307,2,27.717569648999415
arm64,512,6,20221224_104507,2,27.458673525999984
arm64,512,6,20221224_104707,2,27.332637497000178
arm64,512,6,20221224_104907,2,27.69912496400002
arm64,512,6,20221224_105107,2,27.396810429000197
arm64,512,6,20221224_105307,2,27.518747660000372
arm64,512,6,20221224_105507,2,27.45972579299996
arm64,512,6,20221224_105707,2,27.400498625999717
arm64,512,6,20221224_105907,2,27.460940258999926
arm64,512,6,20221224_110107,2,27.478101695000078
arm64,512,6,20221224_110307,2,27.40071834299988
arm64,512,6,20221224_110507,2,27.483195315000103
arm64,512,6,20221224_110707,2,27.500339307000104
arm64,512,6,20221224_110907,2,27.4655333339997
arm64,512,6,20221224_111107,2,27.459847138999976
arm64,512,6,20221224_111308,2,27.485929190000206
arm64,512,6,20221224_111507,2,27.481082560000686
arm64,512,6,20221224_111707,2,27.42853847799961
