Architecture,Memory,Workers,sk,cores,proc_time
x86_64,5376,6,20221224_045946,4,4.327822246999858
x86_64,5376,6,20221224_050145,4,4.4835675960021035
x86_64,5376,6,20221224_050343,4,4.34576553900115
x86_64,5376,6,20221224_050545,4,4.3765776100008225
x86_64,5376,6,20221224_050745,4,4.3690284290023556
x86_64,5376,6,20221224_050944,4,4.312905226001021
x86_64,5376,6,20221224_051144,4,4.426180849000957
x86_64,5376,6,20221224_051345,4,4.362758003000636
x86_64,5376,6,20221224_051545,4,4.4097875360021135
x86_64,5376,6,20221224_051745,4,4.4018060179987515
x86_64,5376,6,20221224_051945,4,4.390713262000645
x86_64,5376,6,20221224_052144,4,4.3414347499965515
x86_64,5376,6,20221224_052345,4,4.394366607000848
x86_64,5376,6,20221224_052545,4,4.350613979000627
x86_64,5376,6,20221224_052745,4,4.465466358000413
x86_64,5376,6,20221224_052945,4,4.330454869999812
x86_64,5376,6,20221224_053144,4,4.3376134900026955
x86_64,5376,6,20221224_053345,4,4.36577735299943
x86_64,5376,6,20221224_053544,4,4.385337955998693
x86_64,5376,6,20221224_053745,4,4.38810986700264
x86_64,5376,6,20221224_053944,4,4.34865444100069
x86_64,5376,6,20221224_054145,4,4.355603768999572
x86_64,5376,6,20221224_054345,4,4.418892185000004
x86_64,5376,6,20221224_054545,4,4.494554340999457
x86_64,5376,6,20221224_054745,4,4.381476392001787
x86_64,5376,6,20221224_054945,4,4.357895855002425
x86_64,5376,6,20221224_055144,4,4.456212678000156
x86_64,5376,6,20221224_055344,4,4.352164195999649
x86_64,5376,6,20221224_055544,4,4.377240237001388
x86_64,5376,6,20221224_055745,4,4.357709568001155
x86_64,5376,6,20221224_055945,4,4.321059919999243
x86_64,5376,6,20221224_060145,4,4.409152190000896
x86_64,5376,6,20221224_060346,4,4.462785247000284
x86_64,5376,6,20221224_060546,4,4.439575808002701
x86_64,5376,6,20221224_060746,4,4.412317063000955
x86_64,5376,6,20221224_060946,4,4.327188586998091
x86_64,5376,6,20221224_061145,4,4.359673188999295
x86_64,5376,6,20221224_061345,4,4.34379379800157
x86_64,5376,6,20221224_061545,4,4.786774069998501
x86_64,5376,6,20221224_061745,4,4.399379131002206
x86_64,5376,6,20221224_061945,4,4.316531354001199
x86_64,5376,6,20221224_062145,4,4.428534869999567
x86_64,5376,6,20221224_062346,4,5.335168352001347
x86_64,5376,6,20221224_062545,4,4.50738242600346
x86_64,5376,6,20221224_062745,4,4.365045990998624
x86_64,5376,6,20221224_062945,4,4.3800272940025025
x86_64,5376,6,20221224_063145,4,4.564004304000264
x86_64,5376,6,20221224_063345,4,4.497786962998362
x86_64,5376,6,20221224_063545,4,4.36242233899975
x86_64,5376,6,20221224_063745,4,4.424028212997655
x86_64,5376,6,20221224_063945,4,4.573576500999479
x86_64,5376,6,20221224_064145,4,4.398373143001663
x86_64,5376,6,20221224_064344,4,4.335804597001697
x86_64,5376,6,20221224_064545,4,4.385252308999043
x86_64,5376,6,20221224_064744,4,4.393511510999815
x86_64,5376,6,20221224_064945,4,4.410539151998819
x86_64,5376,6,20221224_065145,4,4.414343955999357
x86_64,5376,6,20221224_065346,4,4.394283239002107
x86_64,5376,6,20221224_065545,4,4.326995914998406
x86_64,5376,6,20221224_065744,4,4.429897213001823
x86_64,5376,6,20221224_065945,4,4.212852802998896
x86_64,5376,6,20221224_070145,4,4.374703471999965
x86_64,5376,6,20221224_070345,4,4.280183206999936
x86_64,5376,6,20221224_070545,4,4.324776097999347
x86_64,5376,6,20221224_070746,4,4.297838034000961
x86_64,5376,6,20221224_070945,4,4.2890846870013775
x86_64,5376,6,20221224_071146,4,4.302356545998919
x86_64,5376,6,20221224_071345,4,4.310539317000803
x86_64,5376,6,20221224_071545,4,4.269185658999049
x86_64,5376,6,20221224_071745,4,4.275494057999822
x86_64,5376,6,20221224_071944,4,4.249499775998629
x86_64,5376,6,20221224_072145,4,4.366627787998368
x86_64,5376,6,20221224_072346,4,4.314544606999334
x86_64,5376,6,20221224_072545,4,4.500339333999364
x86_64,5376,6,20221224_072744,4,4.2905778200001805
x86_64,5376,6,20221224_072945,4,4.302208011000403
x86_64,5376,6,20221224_073146,4,4.292146809000769
x86_64,5376,6,20221224_073345,4,4.284700432999671
x86_64,5376,6,20221224_073546,4,4.239543831999981
x86_64,5376,6,20221224_073746,4,4.326148199999807
x86_64,5376,6,20221224_073946,4,4.266927897999267
x86_64,5376,6,20221224_074146,4,4.287177665000854
x86_64,5376,6,20221224_074346,4,4.289553292999699
x86_64,5376,6,20221224_074546,4,4.314236457999868
x86_64,5376,6,20221224_074745,4,4.268983257999935
x86_64,5376,6,20221224_074946,4,4.282077542000479
x86_64,5376,6,20221224_075146,4,4.276975232000041
x86_64,5376,6,20221224_075345,4,4.295189600999947
x86_64,5376,6,20221224_075545,4,4.330793817000085
x86_64,5376,6,20221224_075745,4,4.249111402998096
x86_64,5376,6,20221224_075945,4,4.299781967001763
x86_64,5376,6,20221224_080145,4,4.331136148000951
x86_64,5376,6,20221224_080345,4,4.299917596999876
x86_64,5376,6,20221224_080546,4,4.40577535400007
x86_64,5376,6,20221224_080745,4,4.270345602999441
x86_64,5376,6,20221224_080945,4,4.25628965299984
x86_64,5376,6,20221224_081145,4,4.272537843000464
x86_64,5376,6,20221224_081345,4,4.326148299998749
x86_64,5376,6,20221224_081546,4,4.299497328000143
x86_64,5376,6,20221224_081745,4,4.273565363000671
x86_64,5376,6,20221224_081944,4,4.295456452000508
x86_64,5376,6,20221224_082145,4,4.263439316997392
x86_64,5376,6,20221224_082344,4,4.3030945119971875
x86_64,5376,6,20221224_082545,4,4.257867920998251
x86_64,5376,6,20221224_082744,4,4.343047948001185
x86_64,5376,6,20221224_082945,4,4.245659682997939
x86_64,5376,6,20221224_083145,4,4.317063147002045
x86_64,5376,6,20221224_083345,4,4.344796066001436
x86_64,5376,6,20221224_083544,4,4.262496077000833
x86_64,5376,6,20221224_083745,4,4.283477983000921
x86_64,5376,6,20221224_083945,4,4.285364370996831
x86_64,5376,6,20221224_084145,4,4.282126366997545
x86_64,5376,6,20221224_084344,4,4.370078323001508
x86_64,5376,6,20221224_084545,4,4.2724165369982074
x86_64,5376,6,20221224_084745,4,4.255641550000291
x86_64,5376,6,20221224_084945,4,4.353624445997411
x86_64,5376,6,20221224_085145,4,4.257362745996943
x86_64,5376,6,20221224_085346,4,4.291195428999345
x86_64,5376,6,20221224_085545,4,4.396854569000425
x86_64,5376,6,20221224_085746,4,4.276907229999779
x86_64,5376,6,20221224_085945,4,4.239975612999842
x86_64,5376,6,20221224_090146,4,4.327682905000984
x86_64,5376,6,20221224_090345,4,4.304396456998802
x86_64,5376,6,20221224_090545,4,4.327014612998028
x86_64,5376,6,20221224_090744,4,4.530545923997124
x86_64,5376,6,20221224_090945,4,4.280338055003085
x86_64,5376,6,20221224_091145,4,4.307450148000498
x86_64,5376,6,20221224_091345,4,4.280599532998167
x86_64,5376,6,20221224_091546,4,4.323816905001877
x86_64,5376,6,20221224_091746,4,4.3333105290003004
x86_64,5376,6,20221224_091946,4,4.266467476001708
x86_64,5376,6,20221224_092146,4,4.308788739996089
x86_64,5376,6,20221224_092345,4,4.313003244998981
x86_64,5376,6,20221224_092545,4,4.277571976999752
x86_64,5376,6,20221224_092745,4,4.302248635998694
x86_64,5376,6,20221224_092946,4,4.279989063994435
x86_64,5376,6,20221224_093146,4,4.365624892001506
x86_64,5376,6,20221224_093346,4,4.336174131996813
x86_64,5376,6,20221224_093546,4,4.5172626830026275
x86_64,5376,6,20221224_093746,4,4.424169744997926
x86_64,5376,6,20221224_093947,4,4.319346980002592
x86_64,5376,6,20221224_094146,4,4.356583841996326
x86_64,5376,6,20221224_094347,4,4.342864348000148
x86_64,5376,6,20221224_094547,4,4.316656661998422
x86_64,5376,6,20221224_094747,4,4.305441257005441
x86_64,5376,6,20221224_094947,4,4.289398255001288
x86_64,5376,6,20221224_095146,4,4.28678136599774
x86_64,5376,6,20221224_095347,4,4.319178600999294
x86_64,5376,6,20221224_095547,4,4.316635224000493
x86_64,5376,6,20221224_095747,4,4.268090462996042
x86_64,5376,6,20221224_095947,4,4.322880188999989
x86_64,5376,6,20221224_100146,4,4.319695594000223
x86_64,5376,6,20221224_100347,4,4.332290213998931
x86_64,5376,6,20221224_100546,4,4.364890296004887
x86_64,5376,6,20221224_100747,4,4.30845198300085
x86_64,5376,6,20221224_100946,4,4.3288455229994725
x86_64,5376,6,20221224_101146,4,4.3959429299939075
x86_64,5376,6,20221224_101347,4,4.36789002900332
x86_64,5376,6,20221224_101548,4,5.643619793001562
x86_64,5376,6,20221224_101747,4,4.382076136993419
x86_64,5376,6,20221224_101947,4,4.354252798999369
x86_64,5376,6,20221224_102146,4,4.346267932996852
x86_64,5376,6,20221224_102346,4,4.37761780800065
x86_64,5376,6,20221224_102547,4,4.370114618999651
x86_64,5376,6,20221224_102746,4,4.316577122001036
x86_64,5376,6,20221224_102946,4,4.307451941000181
x86_64,5376,6,20221224_103146,4,4.302220689001842
x86_64,5376,6,20221224_103347,4,4.352934545000608
x86_64,5376,6,20221224_103547,4,4.360243844996148
x86_64,5376,6,20221224_103746,4,4.309372078998422
x86_64,5376,6,20221224_103947,4,4.300670000004175
x86_64,5376,6,20221224_104146,4,4.287381235000794
x86_64,5376,6,20221224_104346,4,4.306506996996177
x86_64,5376,6,20221224_104547,4,4.301441680006974
x86_64,5376,6,20221224_104746,4,4.282520126995223
x86_64,5376,6,20221224_104946,4,4.2983160050062
x86_64,5376,6,20221224_105146,4,4.2850981910014525
x86_64,5376,6,20221224_105347,4,4.3027384969973355
x86_64,5376,6,20221224_105546,4,4.325306904000172
x86_64,5376,6,20221224_105747,4,4.284499144996516
x86_64,5376,6,20221224_105947,4,4.581167345000722
x86_64,5376,6,20221224_110147,4,4.316912348000187
x86_64,5376,6,20221224_110347,4,4.324144388001514
x86_64,5376,6,20221224_110547,4,4.371551971000372
x86_64,5376,6,20221224_110748,4,5.138405330000751
x86_64,5376,6,20221224_110946,4,4.357400267999765
x86_64,5376,6,20221224_111147,4,4.275085397999646
x86_64,5376,6,20221224_111349,4,4.300302548999753
x86_64,5376,6,20221224_111548,4,4.270783840000149
x86_64,5376,6,20221224_111749,4,4.34722077799961
